,constructorId,position,points,year
0,51,1,89.0,1950
1,6,2,21.0,1950
2,154,3,20.0,1950
3,113,4,14.0,1950
4,105,5,11.0,1950
5,150,6,10.0,1950
6,141,7,3.0,1950
7,87,8,0.0,1950
8,116,9,0.0,1950
9,110,10,0.0,1950
10,107,11,0.0,1950
11,119,12,0.0,1950
12,138,13,0.0,1950
13,129,14,0.0,1950
14,126,15,0.0,1950
15,151,16,0.0,1950
16,156,17,0.0,1950
17,157,18,0.0,1950
18,158,19,0.0,1950
19,159,20,0.0,1950
20,160,21,0.0,1950
21,161,22,0.0,1950
22,162,23,0.0,1950
23,163,24,0.0,1950
24,6,1,86.0,1951
25,51,2,75.0,1951
26,113,3,19.0,1951
27,154,4,5.0,1951
28,149,5,3.0,1951
29,134,6,2.0,1951
30,66,7,2.0,1951
31,105,8,0.0,1951
32,111,9,0.0,1951
33,110,10,0.0,1951
34,107,11,0.0,1951
35,114,12,0.0,1951
36,127,13,0.0,1951
37,133,14,0.0,1951
38,126,15,0.0,1951
39,119,16,0.0,1951
40,139,17,0.0,1951
41,135,18,0.0,1951
42,144,19,0.0,1951
43,141,20,0.0,1951
44,150,21,0.0,1951
45,151,22,0.0,1951
46,155,23,0.0,1951
47,156,24,0.0,1951
48,6,1,120.5,1952
49,128,2,15.0,1952
50,113,3,13.0,1952
51,87,4,12.0,1952
52,105,5,8.5,1952
53,114,6,8.0,1952
54,125,7,5.0,1952
55,148,8,3.0,1952
56,110,9,3.0,1952
57,141,10,2.0,1952
58,133,11,2.0,1952
59,111,12,0.0,1952
60,107,13,0.0,1952
61,129,14,0.0,1952
62,127,15,0.0,1952
63,139,16,0.0,1952
64,126,17,0.0,1952
65,144,18,0.0,1952
66,145,19,0.0,1952
67,147,20,0.0,1952
68,149,21,0.0,1952
69,150,22,0.0,1952
70,151,23,0.0,1952
71,152,24,0.0,1952
72,153,25,0.0,1952
73,6,1,122.5,1953
74,105,2,65.5,1953
75,113,3,24.0,1953
76,128,4,4.0,1953
77,87,5,0.0,1953
78,110,6,0.0,1953
79,107,7,0.0,1953
80,125,8,0.0,1953
81,114,9,0.0,1953
82,127,10,0.0,1953
83,129,11,0.0,1953
84,133,12,0.0,1953
85,134,13,0.0,1953
86,139,14,0.0,1953
87,141,15,0.0,1953
88,142,16,0.0,1953
89,143,17,0.0,1953
90,144,18,0.0,1953
91,145,19,0.0,1953
92,146,20,0.0,1953
93,147,21,0.0,1953
94,6,1,80.28,1954
95,131,2,60.14,1954
96,105,3,46.14,1954
97,113,4,18.0,1954
98,114,5,6.0,1954
99,128,6,4.0,1954
100,132,7,1.0,1954
101,87,8,0.0,1954
102,118,9,0.0,1954
103,125,10,0.0,1954
104,109,11,0.0,1954
105,129,12,0.0,1954
106,133,13,0.0,1954
107,134,14,0.0,1954
108,135,15,0.0,1954
109,136,16,0.0,1954
110,138,17,0.0,1954
111,139,18,0.0,1954
112,140,19,0.0,1954
113,131,1,79.0,1955
114,6,2,33.99,1955
115,105,3,23.0,1955
116,113,4,21.0,1955
117,132,5,8.0,1955
118,114,6,3.0,1955
119,87,7,0.0,1955
120,111,8,0.0,1955
121,118,9,0.0,1955
122,109,10,0.0,1955
123,108,11,0.0,1955
124,128,12,0.0,1955
125,125,13,0.0,1955
126,129,14,0.0,1955
127,133,15,0.0,1955
128,134,16,0.0,1955
129,135,17,0.0,1955
130,136,18,0.0,1955
131,137,19,0.0,1955
132,6,1,82.0,1956
133,105,2,72.0,1956
134,113,3,12.0,1956
135,125,4,9.0,1956
136,107,5,8.0,1956
137,109,6,4.0,1956
138,118,7,3.0,1956
139,128,8,2.0,1956
140,99,9,0.0,1956
141,66,10,0.0,1956
142,87,11,0.0,1956
143,114,12,0.0,1956
144,110,13,0.0,1956
145,129,14,0.0,1956
146,130,15,0.0,1956
147,105,1,78.0,1957
148,6,2,48.0,1957
149,118,3,37.0,1957
150,108,4,15.0,1957
151,113,5,5.0,1957
152,114,6,4.0,1957
153,125,7,3.0,1957
154,87,8,2.0,1957
155,66,9,0.0,1957
156,95,10,0.0,1957
157,107,11,0.0,1957
158,109,12,0.0,1957
159,110,13,0.0,1957
160,120,14,0.0,1957
161,6,1,93.0,1958
162,118,2,68.0,1958
163,87,3,38.0,1958
164,66,4,24.0,1958
165,108,5,20.0,1958
166,105,6,9.0,1958
167,113,7,4.0,1958
168,205,8,3.0,1958
169,109,9,0.0,1958
170,107,10,0.0,1958
171,95,11,0.0,1958
172,110,12,0.0,1958
173,114,13,0.0,1958
174,120,14,0.0,1958
175,125,15,0.0,1958
176,127,16,0.0,1958
177,87,1,97.5,1959
178,6,2,67.0,1959
179,66,3,22.5,1959
180,107,4,14.0,1959
181,205,5,5.0,1959
182,110,6,5.0,1959
183,108,7,5.0,1959
184,105,8,0.0,1959
185,101,9,0.0,1959
186,95,10,0.0,1959
187,109,11,0.0,1959
188,114,12,0.0,1959
189,115,13,0.0,1959
190,117,14,0.0,1959
191,113,15,0.0,1959
192,118,16,0.0,1959
193,119,17,0.0,1959
194,121,18,0.0,1959
195,120,19,0.0,1959
196,122,20,0.0,1959
197,123,21,0.0,1959
198,124,22,0.0,1959
199,125,23,0.0,1959
200,87,1,108.0,1960
201,205,2,52.0,1960
202,6,3,43.0,1960
203,107,4,14.0,1960
204,66,5,8.0,1960
205,108,6,4.0,1960
206,109,7,3.0,1960
207,110,8,2.0,1960
208,95,9,1.0,1960
209,111,10,1.0,1960
210,101,11,0.0,1960
211,104,12,0.0,1960
212,106,13,0.0,1960
213,105,14,0.0,1960
214,112,15,0.0,1960
215,114,16,0.0,1960
216,113,17,0.0,1960
217,115,18,0.0,1960
218,116,19,0.0,1960
219,117,20,0.0,1960
220,118,21,0.0,1960
221,6,1,99.0,1961
222,205,2,44.0,1961
223,87,3,24.0,1961
224,95,4,24.0,1961
225,66,5,9.0,1961
226,86,6,0.0,1961
227,97,7,0.0,1961
228,99,8,0.0,1961
229,101,9,0.0,1961
230,102,10,0.0,1961
231,103,11,0.0,1961
232,66,1,62.0,1962
233,87,2,45.0,1962
234,205,3,43.0,1962
235,6,4,30.0,1962
236,95,5,20.0,1962
237,26,6,19.0,1962
238,34,7,6.0,1962
239,86,8,0.0,1962
240,89,9,0.0,1962
241,97,10,0.0,1962
242,99,11,0.0,1962
243,100,12,0.0,1962
244,205,1,78.0,1963
245,66,2,65.0,1963
246,34,3,33.0,1963
247,87,4,32.0,1963
248,6,5,27.0,1963
249,94,6,6.0,1963
250,95,7,5.0,1963
251,86,8,0.0,1963
252,54,9,0.0,1963
253,51,10,0.0,1963
254,26,11,0.0,1963
255,92,12,0.0,1963
256,89,13,0.0,1963
257,97,14,0.0,1963
258,98,15,0.0,1963
259,66,1,70.0,1964
260,6,2,64.0,1964
261,205,3,52.0,1964
262,34,4,43.0,1964
263,87,5,16.0,1964
264,94,6,5.0,1964
265,11,7,0.0,1964
266,92,8,0.0,1964
267,95,9,0.0,1964
268,96,10,0.0,1964
269,66,1,81.0,1965
270,205,2,66.0,1965
271,34,3,44.0,1965
272,6,4,32.0,1965
273,87,5,14.0,1965
274,11,6,13.0,1965
275,51,7,0.0,1965
276,89,8,0.0,1965
277,93,9,0.0,1965
278,34,1,65.0,1966
279,87,2,49.0,1966
280,6,3,42.0,1966
281,66,4,34.0,1966
282,205,5,21.0,1966
283,88,6,4.0,1966
284,11,7,3.0,1966
285,1,8,2.0,1966
286,91,9,0.0,1966
287,34,1,102.0,1967
288,205,2,56.0,1967
289,87,3,37.0,1967
290,6,4,23.0,1967
291,66,5,21.0,1967
292,11,6,20.0,1967
293,88,7,13.0,1967
294,1,8,3.0,1967
295,26,9,0.0,1967
296,82,10,0.0,1967
297,89,11,0.0,1967
298,90,12,0.0,1967
299,205,1,75.0,1968
300,1,2,59.0,1968
301,196,3,45.0,1968
302,6,4,37.0,1968
303,66,5,28.0,1968
304,87,6,20.0,1968
305,11,7,14.0,1968
306,34,8,12.0,1968
307,82,9,8.0,1968
308,26,10,0.0,1968
309,89,11,0.0,1968
310,88,12,0.0,1968
311,196,1,85.0,1969
312,34,2,68.0,1969
313,205,3,59.0,1969
314,1,4,49.0,1969
315,6,5,7.0,1969
316,66,6,7.0,1969
317,87,7,0.0,1969
318,88,8,0.0,1969
319,197,9,0.0,1969
320,6,1,76.0,1970
321,205,2,70.0,1970
322,37,3,55.0,1970
323,1,4,36.0,1970
324,34,5,35.0,1970
325,66,6,25.0,1970
326,82,7,24.0,1970
327,63,8,3.0,1970
328,25,9,0.0,1970
329,85,10,0.0,1970
330,86,11,0.0,1970
331,25,1,88.0,1971
332,6,2,44.0,1971
333,66,3,42.0,1971
334,37,4,37.0,1971
335,205,5,25.0,1971
336,1,6,13.0,1971
337,82,7,10.0,1971
338,63,8,9.0,1971
339,34,9,7.0,1971
340,85,10,0.0,1971
341,1,1,66.0,1972
342,205,2,61.0,1972
343,25,3,60.0,1972
344,6,4,47.0,1972
345,63,5,18.0,1972
346,37,6,15.0,1972
347,66,7,14.0,1972
348,82,8,12.0,1972
349,34,9,7.0,1972
350,81,10,0.0,1972
351,83,11,0.0,1972
352,84,12,0.0,1972
353,25,1,118.0,1973
354,205,2,107.0,1973
355,1,3,68.0,1973
356,34,4,22.0,1973
357,6,5,14.0,1973
358,37,6,14.0,1973
359,66,7,13.0,1973
360,58,8,9.0,1973
361,63,9,7.0,1973
362,80,10,2.0,1973
363,81,11,1.0,1973
364,57,12,0.0,1973
365,6,1,90.0,1974
366,1,2,87.0,1974
367,25,3,59.0,1974
368,205,4,47.0,1974
369,34,5,46.0,1974
370,64,6,15.0,1974
371,66,7,10.0,1974
372,58,8,7.0,1974
373,37,9,6.0,1974
374,80,10,4.0,1974
375,63,11,3.0,1974
376,26,12,1.0,1974
377,67,13,0.0,1974
378,57,14,0.0,1974
379,73,15,0.0,1974
380,74,16,0.0,1974
381,77,17,0.0,1974
382,76,18,0.0,1974
383,79,19,0.0,1974
384,78,20,0.0,1974
385,6,1,89.5,1975
386,1,2,65.0,1975
387,34,3,61.0,1975
388,64,4,33.0,1975
389,25,5,32.0,1975
390,58,6,9.5,1975
391,205,7,9.0,1975
392,37,8,9.0,1975
393,3,9,6.0,1975
394,73,10,5.0,1975
395,75,11,3.0,1975
396,67,12,2.0,1975
397,57,13,1.0,1975
398,26,14,0.0,1975
399,56,15,0.0,1975
400,63,16,0.0,1975
401,66,17,0.0,1975
402,74,18,0.0,1975
403,76,19,0.0,1975
404,6,1,99.0,1976
405,1,2,88.0,1976
406,25,3,88.0,1976
407,205,4,32.0,1976
408,67,5,20.0,1976
409,27,6,20.0,1976
410,37,7,19.0,1976
411,34,8,11.0,1976
412,58,9,10.0,1976
413,63,10,7.0,1976
414,56,11,3.0,1976
415,57,12,2.0,1976
416,73,13,1.0,1976
417,3,14,0.0,1976
418,59,15,0.0,1976
419,64,16,0.0,1976
420,70,17,0.0,1976
421,66,18,0.0,1976
422,72,19,0.0,1976
423,74,20,0.0,1976
424,6,1,114.0,1977
425,205,2,67.0,1977
426,1,3,65.0,1977
427,59,4,55.0,1977
428,25,5,27.0,1977
429,34,6,27.0,1977
430,58,7,24.0,1977
431,27,8,18.0,1977
432,56,9,11.0,1977
433,57,10,10.0,1977
434,63,11,6.0,1977
435,67,12,1.0,1977
436,4,13,0.0,1977
437,64,14,0.0,1977
438,37,15,0.0,1977
439,68,16,0.0,1977
440,66,17,0.0,1977
441,69,18,0.0,1977
442,70,19,0.0,1977
443,71,20,0.0,1977
444,72,21,0.0,1977
445,205,1,116.0,1978
446,34,2,69.0,1978
447,6,3,65.0,1978
448,25,4,41.0,1978
449,59,5,24.0,1978
450,27,6,19.0,1978
451,56,7,17.0,1978
452,1,8,16.0,1978
453,3,9,11.0,1978
454,21,10,11.0,1978
455,58,11,6.0,1978
456,4,12,3.0,1978
457,57,13,1.0,1978
458,63,14,1.0,1978
459,54,15,0.0,1978
460,55,16,0.0,1978
461,60,17,0.0,1978
462,64,18,0.0,1978
463,65,19,0.0,1978
464,6,1,113.0,1979
465,3,2,75.0,1979
466,27,3,61.0,1979
467,205,4,39.0,1979
468,25,5,28.0,1979
469,4,6,26.0,1979
470,1,7,15.0,1979
471,34,8,7.0,1979
472,21,9,5.0,1979
473,58,10,3.0,1979
474,54,11,2.0,1979
475,56,12,1.0,1979
476,51,13,0.0,1979
477,57,14,0.0,1979
478,59,15,0.0,1979
479,60,16,0.0,1979
480,61,17,0.0,1979
481,62,18,0.0,1979
482,3,1,120.0,1980
483,27,2,66.0,1980
484,34,3,55.0,1980
485,4,4,38.0,1980
486,205,5,14.0,1980
487,25,6,12.0,1980
488,1,7,11.0,1980
489,56,8,11.0,1980
490,21,9,11.0,1980
491,6,10,8.0,1980
492,51,11,4.0,1980
493,54,12,0.0,1980
494,45,13,0.0,1980
495,57,14,0.0,1980
496,58,15,0.0,1980
497,3,1,95.0,1981
498,34,2,61.0,1981
499,4,3,54.0,1981
500,27,4,44.0,1981
501,6,5,34.0,1981
502,1,6,28.0,1981
503,205,7,22.0,1981
504,25,8,10.0,1981
505,21,9,10.0,1981
506,51,10,10.0,1981
507,57,11,5.0,1981
508,55,12,1.0,1981
509,54,13,1.0,1981
510,37,14,0.0,1981
511,45,15,0.0,1981
512,53,16,0.0,1981
513,56,17,0.0,1981
514,6,1,74.0,1982
515,1,2,69.0,1982
